Country,Amount,Date
"Tuvalu","4,229.42%",2005
"Palau","758.53%",2005
"Kiribati","464.25%",2005
"Andorra","441.99%",2005
"Tonga","379.36%",2005
"Seychelles","265.38%",2005
"Samoa","129.5%",2005
"Vanuatu","128.96%",2005
"Maldives","87.37%",2005
"Iceland","80.88%",2005
"Luxembourg","70.94%",2005
"Malta","59.18%",2005
"Djibouti","40.05%",2005
"The Bahamas","34.95%",2005
"Barbados","32.9%",2005
"Fiji","24.92%",2005
"Namibia","24.67%",2005
"Estonia","23.77%",2005
"Qatar","22.89%",2005
"Cyprus","22.37%",2005
"Mauritius","19.22%",2005
"Mongolia","18.48%",2005
"Bahrain","16.6%",2005
"Latvia","13.48%",2005
"Eurozone average","13.19%",2005
"Slovenia","12.6%",2005
"The Gambia","12.39%",2005
"Albania","12.2%",2005
"Swaziland","12.13%",2005
"Panama","11.29%",2005
"Botswana","11.2%",2005
"NATO countries average","11.04%",2005
"Armenia","10.78%",2005
"European Union average","10.52%",2005
"Lesotho","10.28%",2005
"Lebanon","10.16%",2005
"Lithuania","9.78%",2005
"High income OECD countries average","9.64%",2005
"Georgia","8.6%",2005
"Slovakia","7.91%",2005
"Ireland","7.57%",2005
"Croatia","7.43%",2005
"Kyrgyzstan","7.32%",2005
"Former Soviet republics average","7.14%",2005
"Uruguay","6.92%",2005
"Norway","6.81%",2005
"Kuwait","6.79%",2005
"Denmark","5.63%",2005
"Jamaica","5.51%",2005
"Guinea","5.4%",2005
"Jordan","5.36%",2005
"Bulgaria","4.72%",2005
"Benin","4.52%",2005
"Switzerland","4.5%",2005
"Finland","4.48%",2005
"Israel","4.11%",2005
"Hungary","3.52%",2005
"Singapore","3.52%",2005
"Tunisia","3.47%",2005
"Greece","3.42%",2005
"Oman","3.37%",2005
"Cuba","3.29%",2005
"Bolivia","3.25%",2005
"Belarus","3.08%",2005
"Austria","2.98%",2005
"Turkmenistan","2.95%",2005
"Emerging markets average","2.93%",2005
"Cambodia","2.77%",2005
"Belgium","2.67%",2005
"Paraguay","2.51%",2005
"Ecuador","2.29%",2005
"Kazakhstan","2.21%",2005
"Yemen","2.21%",2005
"Guatemala","2.19%",2005
"Sweden","2.1%",2005
"Netherlands","2.02%",2005
"Romania","2.01%",2005
"Cameroon","1.97%",2005
"Zambia","1.96%",2005
"Azerbaijan","1.87%",2005
"Portugal","1.77%",2005
"Nepal","1.52%",2005
"Venezuela","1.52%",2005
"Zimbabwe","1.4%",2005
"Kenya","1.38%",2005
"Chile","1.36%",2005
"Uganda","1.2%",2005
"Malawi","1.12%",2005
"Uzbekistan","1.11%",2005
"Argentina","1.05%",2005
"Peru","1.03%",2005
"Malaysia","1.02%",2005
"Australia","0.956%",2005
"Poland","0.904%",2005
"Iraq","0.822%",2005
"Canada","0.774%",2005
"Spain","0.77%",2005
"Ukraine","0.749%",2005
"Ghana","0.748%",2005
"Algeria","0.742%",2005
"Burma","0.656%",2005
"Turkey","0.65%",2005
"Rwanda","0.583%",2005
"France","0.546%",2005
"Colombia","0.516%",2005
"Italy","0.425%",2005
"Germany","0.424%",2005
"Sudan","0.408%",2005
"Senegal","0.408%",2005
"Philippines","0.378%",2005
"Thailand","0.357%",2005
"Mexico","0.314%",2005
"Bangladesh","0.27%",2005
"Japan","0.259%",2005
"Egypt","0.255%",2005
"Brazil","0.182%",2005
"Pakistan","0.142%",2005
"Nigeria","0.0616%",2005
"China","0.0273%",2005
"India","0.0142%",2005
"Ethiopia","0.0",2005
"Indonesia","0.0",2005
"Morocco","0.0",2005
"Haiti","0.0",2005
"Honduras","0.0",2005
