"","Country","year","LE","id","smoking_female","smoking_male"
"Afghanistan","Afghanistan",2005,52.9,2,NA,NA
"Albania","Albania",2005,74.4,4,4,40.5
"Algeria","Algeria",2005,74.5,5,0.3,29.9
"Andorra","Andorra",2005,83.1,7,29.2,36.5
"Angola","Angola",2005,56,8,NA,NA
"Antigua and Barbuda","Antigua and Barbuda",2005,74.3,10,NA,NA
"Argentina","Argentina",2005,75.4,11,25.4,34.6
"Armenia","Armenia",2005,72.2,12,3.7,55.1
"Australia","Australia",2005,81.2,14,21.8,27.7
"Austria","Austria",2005,79.6,15,40.1,46.4
"Azerbaijan","Azerbaijan",2005,69.5,16,0.9,NA
"Bahamas","Bahamas",2005,72.1,17,NA,NA
"Bahrain","Bahrain",2005,75.2,18,2.9,26.1
"Bangladesh","Bangladesh",2005,67.9,19,3.8,47
"Barbados","Barbados",2005,75,20,3,18.4
"Belarus","Belarus",2005,68.8,21,21.1,63.7
"Belgium","Belgium",2005,79.2,22,24.1,30.1
"Belize","Belize",2005,70.6,23,NA,NA
"Benin","Benin",2005,61.4,24,NA,NA
"Bhutan","Bhutan",2005,66.6,26,NA,NA
"Bolivia","Bolivia",2005,70,27,29.2,34.1
"Bosnia and Herzegovina","Bosnia and Herzegovina",2005,75.7,28,35.1,49.3
"Botswana","Botswana",2005,54.3,29,NA,NA
"Brazil","Brazil",2005,73.4,30,NA,NA
"Brunei","Brunei",2005,77.3,32,NA,NA
"Bulgaria","Bulgaria",2005,72.5,33,27.8,47.5
"Burkina Faso","Burkina Faso",2005,56.8,34,11.2,22
"Burundi","Burundi",2005,53.8,35,NA,NA
"Cambodia","Cambodia",2005,64.5,36,6.5,40.5
"Cameroon","Cameroon",2005,55.2,37,2.2,12.6
"Canada","Canada",2005,80.3,38,18.9,24.3
"Cape Verde","Cape Verde",2005,71.8,39,NA,NA
"Chad","Chad",2005,53.6,42,2.6,16
"Chile","Chile",2005,78.4,44,33.6,42.1
"China","China",2005,73.9,45,3.7,59.5
"Colombia","Colombia",2005,74.1,48,NA,NA
"Comoros","Comoros",2005,61.9,49,13.5,27.7
"Congo, Dem. Rep.","Congo, Dem. Rep.",2005,54.2,50,2.6,13.5
"Congo, Rep.","Congo, Rep.",2005,56.1,51,1,12.1
"Costa Rica","Costa Rica",2005,78.8,53,7.3,26.1
"Cote d'Ivoire","Cote d'Ivoire",2005,53.6,54,2.4,15.4
"Croatia","Croatia",2005,76.3,55,29.1,38.9
"Cuba","Cuba",2005,77.1,56,28.3,43.4
"Cyprus","Cyprus",2005,80.4,57,NA,NA
"Denmark","Denmark",2005,78.1,60,30.6,36.1
"Djibouti","Djibouti",2005,59.9,61,NA,NA
